"especie","registros_gbif","maxdistancia"
"Bactris sphaerocarpa",1,0
"Bactris kunorum",6,0
"Bactris chocoensis",1,0
"Bactris turbinocarpa",1,0
"Bactris charnleyae",3,1.42794793152135
"Bactris cuspidata",25,13.128993488108
"Bactris schultesii",3,22.0648956526295
"Bactris rostrata",2,62.0339461744194
"Bactris bifida",4,129.444267054012
"Bactris coloniata",390,299.902489144026
"Bactris halmoorei",3,306.630631227908
"Bactris martiana",4,317.549778218731
"Bactris glandulosa",29,434.072351277321
"Bactris manriquei",7,516.917316774955
"Bactris barronis",118,616.249767922285
"Bactris riparia",44,708.889296967429
"Bactris balanophora",81,783.255137701581
"Bactris coloradonis",224,798.504476977816
"Bactris campestris",46,826.995747713012
"Bactris obovata",344,858.97455304016
"Bactris elegans",21,918.790407130586
"Bactris killipii",32,918.790407130586
"Bactris concinna",29,931.037421461427
"Bactris hirta",387,970.592834574935
"Bactris fissifrons",143,1001.75534083548
"Bactris corossilla",283,1002.70727629257
"Bactris acanthocarpa",1085,1050.32771372709
"Bactris macroacantha",38,1071.04810957256
"Bactris guineensis",135,1156.27417165912
"Bactris setulosa",181,1174.61331142471
"Bactris pilosa",185,1190.42950297017
"Bactris major",692,1281.12394268182
"Bactris bidentula",252,1372.43042047088
"Bactris brongniartii",322,1481.65093345246
"Bactris simplicifrons",514,1499.65994439614
"Bactris maraja",973,1640.74479570535
"Bactris gasipaes",315,1761.05252406505
