"especie","registros_gbif","numdeptos","maxdistancia"
"Coccothrinax argentata",21,1,4.54274421592216
"Phytelephas tumacana",13,1,7.52722090406891
"Attalea colenda",12,1,36.3972775527375
"Aiphanes duquei",9,2,96.0893468246872
"Hyospathe wendlandiana",11,1,134.600336379311
"Astrocaryum triandrum",14,4,206.969210756015
"Aiphanes parvifolia",31,1,236.781589740569
"Prestoea simplicifolia",37,2,240.081408318437
"Chamaedorea ricardoi",32,3,276.138511739015
"Ceroxylon alpinum",203,6,282.342557674052
"Attalea amygdalina",182,3,396.316874591546
"Aiphanes acaulis",19,2,413.066013559877
"Attalea cohune",25,6,550.093386585249
"Ceroxylon ventricosum",14,3,824.618575758879
"Elaeis oleifera",1097,16,1132.31617923276
