"especie","registros_gbif","numdeptos","maxdistancia"
"Aiphanes pilaris",6,1,2.53403190806102
"Oenocarpus circumtextus",15,2,25.6821210516067
"Bactris rostrata",2,1,62.0339461744194
"Geonoma santanderensis",21,2,166.290658629479
"Wettinia microcarpa",38,2,174.117271508851
"Aiphanes gelatinosa",20,2,185.455229853663
"Wettinia hirsuta",65,5,456.712757166126
"Geonoma chlamydostachys",29,4,491.600668733499
"Cryosophila kalbreyeri",60,7,515.668573811715
"Attalea nucifera",52,5,623.006420073834
"Syagrus sancona",172,10,720.075669009736
