"especie","registros_gbif","conservacion"
NULL,223,NULL
"Geonoma stricta",168,NULL
"Geonoma macrostachys",155,NULL
"Lepidocaryum tenue",117,NULL
"Geonoma deversa",112,NULL
"Geonoma maxima",112,NULL
"Hyospathe elegans",109,NULL
"Iriartella setigera",103,NULL
"Bactris maraja",77,NULL
"Euterpe precatoria",77,NULL
"Bactris simplicifrons",74,NULL
"Socratea exorrhiza",73,NULL
"Bactris hirta",71,NULL
"Oenocarpus bataua",66,NULL
"Euterpe catinga",56,NULL
"Geonoma camana",54,NULL
"Bactris fissifrons",48,NULL
"Attalea insignis",40,NULL
"Desmoncus mitis",38,NULL
"Bactris riparia",35,NULL
"Iriartea deltoidea",34,NULL
"Manicaria martiana",34,NULL
"Chamaedorea pauciflora",33,NULL
"Geonoma brongniartii",30,NULL
"Astrocaryum ciliatum",29,NULL
"Mauritia flexuosa",28,NULL
"Bactris corossilla",27,NULL
"Desmoncus polyacanthos",27,NULL
"Oenocarpus minor",25,NULL
"Bactris gasipaes",25,NULL
"Bactris killipii",25,NULL
"Astrocaryum aculeatum",25,NULL
"Astrocaryum jauari",25,NULL
"Oenocarpus mapora",24,NULL
"Astrocaryum chambira",23,NULL
"Attalea butyracea",23,NULL
"Chamaedorea pinnatifrons",22,NULL
"Bactris concinna",21,NULL
"Wettinia drudei",21,NULL
"Geonoma leptospadix",21,NULL
"Mauritiella armata",21,NULL
"Bactris acanthocarpa",19,NULL
"Oenocarpus balickii",18,NULL
"Geonoma laxiflora",17,NULL
"Geonoma oligoclona",16,NULL
"Pholidostachys synanthera",15,NULL
"Manicaria saccifera",14,NULL
"Wettinia augusta",14,NULL
"Oenocarpus bacaba",13,NULL
"Bactris balanophora",13,NULL
"Syagrus orinocensis",12,NULL
"Prestoea schultzeana",12,NULL
"Iriartella stenocarpa",12,NULL
"Bactris macroacantha",12,NULL
"Aiphanes deltoidea",11,NULL
"Astrocaryum ferrugineum",11,NULL
"Attalea plowmanii",11,NULL
"Syagrus smithii",11,NULL
"Geonoma poeppigiana",10,NULL
"Bactris bidentula",10,NULL
"Itaya amicorum",9,NULL
"Oenocarpus simplex",9,NULL
"Bactris elegans",8,NULL
"Phytelephas macrocarpa",8,NULL
"Attalea microcarpa",8,NULL
"Attalea racemosa",8,NULL
"Mauritia carana",7,NULL
"Dictyocaryum ptarianum",6,NULL
"Chelyocarpus ulei",6,NULL
"Cocos nucifera",6,NULL
"Astrocaryum murumuru",5,NULL
"Aiphanes ulei",5,NULL
"Oenocarpus makeru",5,NULL
"Astrocaryum gynacanthum",5,NULL
"Desmoncus interjectus",5,NULL
"Desmoncus horridus",5,NULL
"Oenocarpus circumtextus",5,"Vulnerable"
"Bactris bifida",4,NULL
"Bactris martiana",4,NULL
"Attalea maripa",4,NULL
"Bactris halmoorei",3,NULL
"Desmoncus giganteus",3,NULL
"Geonoma longepedunculata",3,NULL
"Desmoncus intermedius",3,NULL
"Chelyocarpus repens",3,NULL
"Mauritiella aculeata",3,NULL
"Desmoncus vacivus",3,NULL
"Astrocaryum macrocalyx",3,NULL
"Bactris brongniartii",3,NULL
"Geonoma interrupta",2,NULL
"Prestoea carderi",1,NULL
"Elaeis guineensis",1,NULL
"Attalea cephalotus",1,NULL
"Desmoncus pumilus",1,NULL
"Bactris sphaerocarpa",1,NULL
"Geonoma aspidiifolia",1,NULL
"Calyptrogyne ghiesbreghtiana",1,NULL
"Bactris campestris",1,NULL
"Geonoma undata",1,NULL
"Geonoma orbignyana",1,NULL
"Attalea septuagenata",1,NULL
"Attalea phalerata",1,NULL
"Desmoncus orthacanthos",1,NULL
"Phoenix dactylifera",1,NULL
"Desmoncus prunifer",1,NULL
