"especie","registros_gbif","conservacion"
"Euterpe precatoria",484.0,NULL
NULL,418.0,NULL
"Elaeis oleifera",243.0,"En Peligro"
"Geonoma orbignyana",217.0,NULL
"Welfia regia",202.0,NULL
"Wettinia kalbreyeri",200.0,NULL
"Oenocarpus bataua",172.0,NULL
"Chamaedorea linearis",134.0,NULL
"Wettinia fascicularis",131.0,NULL
"Chamaedorea pinnatifrons",127.0,NULL
"Attalea amygdalina",111.0,"En Peligro"
"Geonoma undata",107.0,NULL
"Geonoma interrupta",104.0,NULL
"Acrocomia aculeata",102.0,NULL
"Asterogyne martiana",88.0,NULL
"Aiphanes linearis",81.0,NULL
"Aiphanes hirsuta",78.0,NULL
"Aiphanes horrida",75.0,NULL
"Iriartea deltoidea",73.0,NULL
"Prestoea acuminata",71.0,NULL
"Bactris gasipaes",69.0,NULL
"Roystonea regia",65.0,NULL
"Ceroxylon vogelianum",64.0,NULL
"Dictyocaryum lamarckianum",62.0,NULL
"Oenocarpus minor",60.0,NULL
"Geonoma cuneata",58.0,NULL
"Bactris maraja",55.0,NULL
"Euterpe oleracea",50.0,NULL
"Bactris guineensis",46.0,NULL
"Pholidostachys dactyloides",46.0,NULL
"Wettinia hirsuta",46.0,"Vulnerable"
"Bactris pilosa",44.0,NULL
"Ceroxylon quindiuense",42.0,"En Peligro"
"Cryosophila kalbreyeri",40.0,"Vulnerable"
"Wettinia radiata",39.0,NULL
"Ceroxylon parvifrons",39.0,NULL
"Aiphanes lindeniana",38.0,NULL
"Pholidostachys synanthera",37.0,NULL
"Hyospathe elegans",36.0,NULL
"Prestoea simplicifolia",35.0,"En Peligro"
"Attalea allenii",34.0,NULL
"Aiphanes parvifolia",31.0,"En Peligro"
"Prestoea decurrens",31.0,NULL
"Socratea exorrhiza",29.0,NULL
"Hyospathe frontinensis",28.0,NULL
"Chamaedorea tepejilote",26.0,NULL
"Geonoma deversa",26.0,NULL
"Ceroxylon sasaimae",25.0,"En Peligro Critico"
"Attalea butyracea",24.0,NULL
"Geonoma chlamydostachys",24.0,"Vulnerable"
"Bactris coloradonis",24.0,NULL
"Geonoma congesta",24.0,NULL
"Bactris setulosa",23.0,NULL
"Prestoea carderi",22.0,NULL
"Astrocaryum malybo",21.0,NULL
"Desmoncus orthacanthos",21.0,NULL
"Socratea rostrata",20.0,NULL
"Geonoma lehmannii",20.0,NULL
"Bactris barronis",18.0,NULL
"Reinhardtia koschnyana",17.0,"En Peligro Critico"
"Aiphanes macroloba",16.0,NULL
"Chamaedorea ricardoi",16.0,"En Peligro"
"Desmoncus myriacanthos",16.0,NULL
"Cocos nucifera",15.0,NULL
"Phytelephas macrocarpa",15.0,NULL
"Wettinia quinaria",14.0,NULL
"Sabal mauritiiformis",14.0,NULL
"Bactris obovata",14.0,NULL
"Synechanthus warscewiczianus",14.0,NULL
"Bactris glandulosa",14.0,NULL
"Geonoma triandra",13.0,NULL
"Dypsis lutescens",13.0,NULL
"Astrocaryum standleyanum",13.0,NULL
"Aiphanes simplex",12.0,NULL
"Chamaedorea allenii",12.0,NULL
"Syagrus romanzoffiana",12.0,NULL
"Hyospathe wendlandiana",11.0,"En Peligro"
"Chamaedorea warscewiczii",11.0,NULL
"Archontophoenix cunninghamiana",11.0,NULL
"Ammandra decasperma",11.0,NULL
"Geonoma divisa",10.0,NULL
"Adonidia merrillii",10.0,NULL
"Geonoma pinnatifrons",10.0,NULL
"Manicaria saccifera",9.0,NULL
"Geonoma stricta",9.0,NULL
"Desmoncus cirrhifer",9.0,NULL
"Desmoncus cirrhiferus",9.0,NULL
"Wettinia disticha",9.0,NULL
"Bactris brongniartii",8.0,NULL
"Pholidostachys sanluisensis",7.0,NULL
"Chamaedorea geonomiformis",7.0,NULL
"Geonoma galeanoae",7.0,NULL
"Phytelephas seemannii",7.0,NULL
"Oenocarpus mapora",6.0,NULL
"Mauritiella macroclada",6.0,NULL
"Geonoma concinna",6.0,NULL
"Geonoma frontinensis",6.0,NULL
"Elaeis guineensis",6.0,NULL
"Syagrus sancona",6.0,"Vulnerable"
"Bactris major",6.0,NULL
"Wettinia aequalis",5.0,NULL
"Archontophoenix alexandrae",4.0,NULL
"Rhapis excelsa",4.0,NULL
"Aiphanes leiostachys",4.0,"En Peligro Critico"
"Chamaedorea pygmaea",4.0,NULL
"Desmoncus giganteus",4.0,NULL
"Wettinia castanea",3.0,NULL
"Licuala grandis",3.0,NULL
"Reinhardtia simplex",3.0,"En Peligro Critico"
"Howea forsteriana",3.0,NULL
"Socratea hecatonandra",3.0,NULL
"Geonoma laxiflora",3.0,NULL
"Chamaedorea ponderosa",3.0,NULL
"Dypsis madagascariensis",2.0,NULL
