"especie","registros_gbif","conservacion"
"Aiphanes horrida",31,NULL
"Attalea butyracea",28,NULL
"Socratea exorrhiza",10,NULL
"Geonoma interrupta",9,NULL
"Syagrus sancona",8,"Vulnerable"
"Bactris pilosa",7,NULL
"Oenocarpus minor",6,NULL
"Bactris corossilla",5,NULL
"Mauritia flexuosa",4,NULL
"Euterpe precatoria",4,NULL
"Bactris major",3,NULL
"Bactris bidentula",3,NULL
"Syagrus orinocensis",3,NULL
"Chamaedorea pinnatifrons",3,NULL
"Desmoncus horridus",3,NULL
"Mauritiella aculeata",3,NULL
"Astrocaryum jauari",3,NULL
"Bactris brongniartii",3,NULL
NULL,2,NULL
"Astrocaryum acaule",2,NULL
"Bactris guineensis",2,NULL
"Acrocomia aculeata",2,NULL
"Desmoncus polyacanthos",1,NULL
"Syagrus inajai",1,NULL
"Bactris setulosa",1,NULL
"Attalea maripa",1,NULL
"Oenocarpus bataua",1,NULL
