"especie","registros_gbif","conservacion"
"Attalea butyracea",657,NULL
"Sabal mauritiiformis",566,NULL
"Astrocaryum malybo",94,NULL
"Cocos nucifera",68,NULL
NULL,22,NULL
"Bactris guineensis",15,NULL
"Elaeis guineensis",15,NULL
"Acrocomia aculeata",14,NULL
"Elaeis oleifera",13,"En Peligro"
"Bactris gasipaes",7,NULL
"Cryosophila kalbreyeri",5,"Vulnerable"
"Bactris major",4,NULL
"Attalea allenii",4,NULL
"Desmoncus myriacanthos",4,NULL
"Roystonea oleracea",4,NULL
"Oenocarpus minor",3,NULL
"Astrocaryum standleyanum",3,NULL
"Bactris bidentula",3,NULL
"Attalea nucifera",3,"Vulnerable"
"Wettinia hirsuta",2,"Vulnerable"
"Bactris pilosa",2,NULL
"Copernicia tectorum",2,NULL
"Desmoncus orthacanthos",2,NULL
"Euterpe oleracea",1,NULL
"Geonoma chlamydostachys",1,"Vulnerable"
"Geonoma cuneata",1,NULL
"Geonoma deversa",1,NULL
"Geonoma interrupta",1,NULL
"Geonoma stricta",1,NULL
"Oenocarpus bataua",1,NULL
"Phoenix roebelenii",1,NULL
"Phytelephas macrocarpa",1,NULL
"Prestoea acuminata",1,NULL
"Adonidia merrillii",1,NULL
"Aiphanes horrida",1,NULL
"Bactris barronis",1,NULL
"Attalea cohune",1,"En Peligro"
"Bactris maraja",1,NULL
"Caryota urens",1,NULL
"Astrocaryum triandrum",1,"En Peligro"
"Dypsis lutescens",1,NULL
"Ammandra decasperma",1,NULL
"Aiphanes linearis",1,NULL
