"especie","registros_gbif","conservacion"
"Socratea exorrhiza",179,NULL
"Chamaedorea pinnatifrons",48,NULL
"Elaeis oleifera",30,"En Peligro"
NULL,29,NULL
"Geonoma undata",23,NULL
"Geonoma orbignyana",21,NULL
"Wettinia praemorsa",17,NULL
"Attalea maripa",17,NULL
"Bactris gasipaes",14,NULL
"Aiphanes lindeniana",12,NULL
"Euterpe precatoria",11,NULL
"Chamaedorea linearis",11,NULL
"Geonoma interrupta",11,NULL
"Aiphanes concinna",9,NULL
"Ceroxylon vogelianum",5,NULL
"Aiphanes horrida",5,NULL
"Ceroxylon quindiuense",5,"En Peligro"
"Ammandra decasperma",4,NULL
"Prestoea longepetiolata",3,NULL
"Geonoma frontinensis",3,NULL
"Bactris corossilla",3,NULL
"Desmoncus orthacanthos",2,NULL
"Oenocarpus bataua",2,NULL
"Syagrus orinocensis",2,NULL
"Cryosophila kalbreyeri",1,"Vulnerable"
"Attalea cohune",1,"En Peligro"
"Phytelephas macrocarpa",1,NULL
"Prestoea acuminata",1,NULL
"Ceroxylon sasaimae",1,"En Peligro Critico"
"Roystonea oleracea",1,NULL
"Ceroxylon parvifrons",1,NULL
"Astrocaryum triandrum",1,"En Peligro"
"Desmoncus polyacanthos",1,NULL
"Acrocomia aculeata",1,NULL
