"especie","registros_gbif","conservacion"
"Dypsis lutescens",101,NULL
NULL,94,NULL
"Euterpe precatoria",78,NULL
"Attalea butyracea",46,NULL
"Geonoma undata",36,NULL
"Ceroxylon quindiuense",35,"En Peligro"
"Aiphanes horrida",29,NULL
"Chamaedorea pinnatifrons",28,NULL
"Bactris pilosa",23,NULL
"Elaeis oleifera",13,"En Peligro"
"Attalea cohune",13,"En Peligro"
"Wettinia kalbreyeri",12,NULL
"Phoenix roebelenii",12,NULL
"Oenocarpus minor",11,NULL
"Chamaedorea ricardoi",11,"En Peligro"
"Geonoma interrupta",10,NULL
"Archontophoenix alexandrae",10,NULL
"Bactris setulosa",7,NULL
"Bactris barronis",7,NULL
"Astrocaryum triandrum",7,"En Peligro"
"Cocos nucifera",6,NULL
"Chamaedorea linearis",6,NULL
"Roystonea regia",5,NULL
"Bactris gasipaes",5,NULL
"Chamaedorea elegans",5,NULL
"Geonoma orbignyana",5,NULL
"Roystonea oleracea",5,NULL
"Wettinia fascicularis",5,NULL
"Elaeis guineensis",4,NULL
"Bismarckia nobilis",4,NULL
"Wettinia aequatorialis",3,NULL
"Prestoea ensiformis",3,NULL
"Prestoea acuminata",3,NULL
"Adonidia merrillii",3,NULL
"Washingtonia robusta",3,NULL
"Desmoncus orthacanthos",2,NULL
"Astrocaryum malybo",2,NULL
"Ceroxylon alpinum",2,"En Peligro"
"Aiphanes simplex",2,NULL
"Bactris major",2,NULL
"Wodyetia bifurcata",2,NULL
"Acrocomia aculeata",2,NULL
"Syagrus sancona",2,"Vulnerable"
"Aiphanes lindeniana",2,NULL
"Ceroxylon parvifrons",1,NULL
"Caryota mitis",1,NULL
"Calamus didymophyllus",1,NULL
"Desmoncus polyacanthos",1,NULL
"Dictyocaryum lamarckianum",1,NULL
"Euterpe oleracea",1,NULL
"Geonoma chlamydostachys",1,"Vulnerable"
"Geonoma deversa",1,NULL
"Areca triandra",1,NULL
"Geonoma pinnatifrons",1,NULL
"Archontophoenix cunninghamiana",1,NULL
"Mauritia flexuosa",1,NULL
"Ammandra decasperma",1,NULL
"Pritchardia pacifica",1,NULL
"Ceroxylon sasaimae",1,"En Peligro Critico"
"Ceroxylon vogelianum",1,NULL
