"especie","registros_gbif","conservacion"
NULL,321,NULL
"Oenocarpus bataua",308,NULL
"Lepidocaryum tenue",189,NULL
"Geonoma maxima",149,NULL
"Geonoma deversa",130,NULL
"Wettinia praemorsa",118,NULL
"Hyospathe elegans",113,NULL
"Geonoma triglochin",113,NULL
"Euterpe precatoria",111,NULL
"Geonoma interrupta",110,NULL
"Iriartella setigera",108,NULL
"Geonoma stricta",108,NULL
"Socratea exorrhiza",81,NULL
"Bactris simplicifrons",80,NULL
"Oenocarpus bacaba",79,NULL
"Bactris acanthocarpa",71,NULL
"Euterpe catinga",70,NULL
"Attalea microcarpa",69,NULL
"Wettinia drudei",67,NULL
"Iriartella stenocarpa",64,NULL
"Iriartea deltoidea",63,NULL
"Bactris balanophora",52,NULL
"Astrocaryum ciliatum",51,NULL
"Attalea insignis",50,NULL
"Bactris fissifrons",49,NULL
"Pholidostachys synanthera",48,NULL
"Geonoma orbignyana",47,NULL
"Attalea racemosa",45,NULL
"Bactris hirta",45,NULL
"Socratea rostrata",42,NULL
"Attalea maripa",41,NULL
"Prestoea carderi",39,NULL
"Bactris maraja",39,NULL
"Chamaedorea pinnatifrons",37,NULL
"Syagrus orinocensis",35,NULL
"Bactris major",34,NULL
"Astrocaryum aculeatum",33,NULL
"Geonoma macrostachys",33,NULL
"Geonoma multisecta",32,NULL
"Oenocarpus minor",30,NULL
"Astrocaryum chambira",30,NULL
"Astrocaryum gynacanthum",29,NULL
"Geonoma undata",29,NULL
"Prestoea acuminata",28,NULL
"Wettinia anomala",27,NULL
"Wettinia fascicularis",26,NULL
"Mauritiella armata",26,NULL
"Oenocarpus mapora",25,NULL
"Aiphanes ulei",24,NULL
"Bactris corossilla",22,NULL
"Astrocaryum acaule",19,NULL
"Geonoma brongniartii",18,NULL
"Dictyocaryum lamarckianum",17,NULL
"Desmoncus polyacanthos",17,NULL
"Mauritia flexuosa",16,NULL
"Bactris gasipaes",16,NULL
"Bactris macroacantha",15,NULL
"Chamaedorea linearis",15,NULL
"Desmoncus giganteus",14,NULL
"Desmoncus mitis",14,NULL
"Prestoea ensiformis",13,NULL
"Wettinia maynensis",12,NULL
"Geonoma leptospadix",11,NULL
"Bactris elegans",10,NULL
"Geonoma camana",10,NULL
"Geonoma poeppigiana",9,NULL
"Geonoma longepedunculata",8,NULL
"Astrocaryum murumuru",8,NULL
"Attalea butyracea",7,NULL
"Aiphanes simplex",6,NULL
"Dypsis lutescens",6,NULL
"Desmoncus intermedius",6,NULL
"Bactris setulosa",6,NULL
"Mauritia carana",5,NULL
"Geonoma euspatha",5,NULL
"Chamaedorea pauciflora",5,NULL
"Bactris killipii",4,NULL
"Astrocaryum urostachys",4,NULL
"Cocos nucifera",4,NULL
"Mauritiella aculeata",3,NULL
"Elaeis guineensis",3,NULL
"Caryota urens",3,NULL
"Bactris schultesii",3,NULL
"Dictyocaryum ptarianum",3,NULL
"Ceroxylon vogelianum",2,NULL
"Euterpe oleracea",2,NULL
"Astrocaryum standleyanum",2,NULL
"Geonoma frontinensis",2,NULL
"Bactris obovata",2,NULL
"Desmoncus setosus",2,NULL
"Manicaria saccifera",2,NULL
"Bactris bidentula",2,NULL
"Astrocaryum jauari",2,NULL
"Ammandra decasperma",1,NULL
"Elaeis oleifera",1,"En Peligro"
"Rhapis excelsa",1,NULL
"Roystonea regia",1,NULL
"Sabal mauritiiformis",1,NULL
"Bactris campestris",1,NULL
"Attalea osmantha",1,NULL
"Geonoma laxiflora",1,NULL
