"especie","registros_gbif","conservacion"
NULL,125,NULL
"Mauritia flexuosa",46,NULL
"Mauritiidites franciscoi",32,NULL
"Attalea insignis",29,NULL
"Socratea exorrhiza",26,NULL
"Aiphanes horrida",22,NULL
"Chamaedorea pinnatifrons",21,NULL
"Attalea butyracea",18,NULL
"Acrocomia aculeata",18,NULL
"Geonoma interrupta",17,NULL
"Bactris major",16,NULL
"Euterpe precatoria",15,NULL
"Syagrus orinocensis",11,NULL
"Geonoma orbignyana",9,NULL
"Spinizonocolpites breviechinatus",8,NULL
"Spinizonocolpites grandis",8,NULL
"Wettinia praemorsa",7,NULL
"Syagrus sancona",5,"Vulnerable"
"Chamaedorea linearis",5,NULL
"Bactris corossilla",4,NULL
"Bactris maraja",4,NULL
"Racemonocolpites facilis",4,NULL
"Geonoma undata",3,NULL
"Attalea racemosa",3,NULL
"Desmoncus horridus",3,NULL
"Roystonea oleracea",3,NULL
"Spinizonocolpites pachyexinatus",2,NULL
"Luminidites colombianensis",2,NULL
"Bactris gasipaes",2,NULL
"Bactris bidentula",2,NULL
"Attalea maripa",2,NULL
"Oenocarpus mapora",1,NULL
"Astrocaryum acaule",1,NULL
"Bactris brongniartii",1,NULL
"Astrocaryum gynacanthum",1,NULL
"Astrocaryum chambira",1,NULL
"Astrocaryum aculeatum",1,NULL
"Geonoma poeppigiana",1,NULL
"Geonoma stricta",1,NULL
"Geonoma brongniartii",1,NULL
"Desmoncus orthacanthos",1,NULL
"Monocolpites racematus",1,NULL
"Oenocarpus bataua",1,NULL
