"especie","registros_gbif","conservacion"
"Elaeis oleifera",18,"En Peligro"
"Chamaedorea pinnatifrons",12,NULL
"Attalea butyracea",10,NULL
"Copernicia tectorum",9,NULL
"Desmoncus orthacanthos",6,NULL
"Bactris guineensis",5,NULL
"Wettinia praemorsa",4,NULL
NULL,4,NULL
"Desmoncus myriacanthos",3,NULL
"Astrocaryum malybo",3,NULL
"Geonoma interrupta",3,NULL
"Sabal mauritiiformis",2,NULL
"Oenocarpus minor",2,NULL
"Acrocomia aculeata",2,NULL
"Bactris setulosa",1,NULL
"Euterpe precatoria",1,NULL
"Bactris brongniartii",1,NULL
"Hyospathe elegans",1,NULL
"Bactris major",1,NULL
"Chamaedorea coralliana",1,NULL
"Ceroxylon ceriferum",1,NULL
"Elaeis guineensis",1,NULL
