"especie","registros_gbif","conservacion"
"Wettinia quinaria",4534,NULL
"Oenocarpus bataua",1746,NULL
"Welfia regia",1038,NULL
"Oenocarpus minor",951,NULL
"Socratea exorrhiza",739,NULL
"Geonoma cuneata",682,NULL
"Asterogyne martiana",451,NULL
"Bactris maraja",419,NULL
"Attalea allenii",384,NULL
"Manicaria saccifera",366,NULL
"Bactris coloniata",360,NULL
"Raphia taedigera",335,NULL
"Elaeis oleifera",312,"En Peligro"
"Euterpe oleracea",254,NULL
"Bactris obovata",220,NULL
"Euterpe precatoria",206,NULL
NULL,201,NULL
"Mauritiella macroclada",180,NULL
"Pholidostachys dactyloides",164,NULL
"Ammandra decasperma",162,NULL
"Wettinia radiata",158,NULL
"Bactris coloradonis",138,NULL
"Wettinia aequalis",137,NULL
"Geonoma deversa",126,NULL
"Geonoma congesta",92,NULL
"Chelyocarpus dianeurus",90,NULL
"Geonoma divisa",88,NULL
"Bactris barronis",77,NULL
"Hyospathe elegans",68,NULL
"Geonoma interrupta",58,NULL
"Astrocaryum standleyanum",41,NULL
"Aiphanes macroloba",37,NULL
"Aiphanes hirsuta",35,NULL
"Desmoncus cirrhiferus",31,NULL
"Prestoea decurrens",31,NULL
"Synechanthus warscewiczianus",30,NULL
"Wettinia kalbreyeri",30,NULL
"Chamaedorea linearis",29,NULL
"Chamaedorea pinnatifrons",29,NULL
"Geonoma triandra",27,NULL
"Bactris gasipaes",27,NULL
"Chamaedorea allenii",26,NULL
"Bactris setulosa",24,NULL
"Iriartea deltoidea",23,NULL
"Bactris pilosa",21,NULL
"Geonoma chococola",18,NULL
"Socratea hecatonandra",18,NULL
"Aiphanes acaulis",18,"En Peligro"
"Desmoncus cirrhifer",17,NULL
"Geonoma undata",16,NULL
"Chamaedorea tepejilote",16,NULL
"Bactris brongniartii",16,NULL
"Bactris glandulosa",14,NULL
"Geonoma calyptrogynoidea",14,NULL
"Geonoma pinnatifrons",12,NULL
"Socratea rostrata",12,NULL
"Cocos nucifera",11,NULL
"Desmoncus myriacanthos",11,NULL
"Chamaedorea deneversiana",11,NULL
"Wettinia castanea",10,NULL
"Wettinia oxycarpa",10,NULL
"Cryosophila macrocarpa",9,NULL
"Prestoea acuminata",9,NULL
"Welfia georgii",8,NULL
"Calyptrogyne costatifrons",7,NULL
"Calyptrogyne baudensis",7,NULL
"Oenocarpus mapora",7,NULL
"Pholidostachys pulchra",7,NULL
"Pholidostachys kalbreyeri",6,NULL
"Geonoma stricta",6,NULL
"Wettinia fascicularis",6,NULL
"Reinhardtia gracilis",6,"En Peligro Critico"
"Attalea iguadummat",5,NULL
"Chamaedorea warscewiczii",5,NULL
"Cryosophila kalbreyeri",4,"Vulnerable"
"Attalea cuatrecasana",4,NULL
"Astrocaryum malybo",4,NULL
"Aiphanes buenaventurae",4,NULL
"Calyptrogyne ghiesbreghtiana",4,NULL
"Desmoncus orthacanthos",4,NULL
"Reinhardtia koschnyana",4,"En Peligro Critico"
"Desmoncus horridus",3,NULL
"Geonoma ferruginea",3,NULL
"Geonoma chlamydostachys",3,"Vulnerable"
"Chamaedorea subjectifolia",3,NULL
"Bactris charnleyae",3,NULL
"Geonoma lehmannii",3,NULL
"Pholidostachys panamensis",2,NULL
"Phytelephas macrocarpa",2,NULL
"Chamaedorea ponderosa",2,NULL
"Hyospathe frontinensis",2,NULL
"Bactris rostrata",2,"Vulnerable"
"Geonoma gentryi",2,NULL
"Aiphanes tricuspidata",2,NULL
"Pholidostachys mooreana",2,NULL
"Aiphanes simplex",2,NULL
"Sabinaria magnifica",1,NULL
"Chamaedorea deckeriana",1,NULL
"Ceroxylon parvifrons",1,NULL
"Geonoma frontinensis",1,NULL
"Acrocomia aculeata",1,NULL
"Bactris turbinocarpa",1,NULL
"Geonoma paradoxa",1,NULL
"Geonoma orbignyana",1,NULL
"Dictyocaryum lamarckianum",1,NULL
"Chamaedorea pumila",1,NULL
"Wettinia disticha",1,NULL
"Prestoea ensiformis",1,NULL
"Prestoea longepetiolata",1,NULL
"Chamaedorea klotzschiana",1,NULL
"Chamaedorea woodsoniana",1,NULL
"Geonoma leptospadix",1,NULL
