"especie","registros_gbif","conservacion"
"Ceroxylon sasaimae",118,"En Peligro Critico"
"Socratea exorrhiza",101,NULL
"Geonoma undata",86,NULL
NULL,73,NULL
"Chamaedorea pinnatifrons",63,NULL
"Ceroxylon alpinum",54,"En Peligro"
"Attalea butyracea",50,NULL
"Elaeis oleifera",32,"En Peligro"
"Aiphanes horrida",26,NULL
"Geonoma orbignyana",22,NULL
"Bactris gasipaes",21,NULL
"Attalea nucifera",20,"Vulnerable"
"Ceroxylon vogelianum",16,NULL
"Iriartea deltoidea",16,NULL
"Geonoma interrupta",14,NULL
"Chamaedorea linearis",12,NULL
"Wettinia praemorsa",12,NULL
"Prestoea acuminata",12,NULL
"Aiphanes lindeniana",11,NULL
"Aiphanes simplex",9,NULL
"Sabal mauritiiformis",8,NULL
"Cocos nucifera",8,NULL
"Attalea maripa",8,NULL
"Oenocarpus bataua",6,NULL
"Syagrus sancona",5,"Vulnerable"
"Phoenix canariensis",5,NULL
"Desmoncus cirrhifer",4,NULL
"Attalea cohune",4,"En Peligro"
"Phytelephas macrocarpa",4,NULL
"Geonoma deversa",3,NULL
"Bactris major",3,NULL
"Astrocaryum malybo",3,NULL
"Ceroxylon quindiuense",3,"En Peligro"
"Geonoma frontinensis",2,NULL
"Archontophoenix cunninghamiana",2,NULL
"Euterpe precatoria",2,NULL
"Oenocarpus mapora",2,NULL
"Acrocomia aculeata",1,NULL
"Adonidia merrillii",1,NULL
"Geonoma euspatha",1,NULL
"Geonoma cuneata",1,NULL
"Dictyocaryum lamarckianum",1,NULL
"Roystonea oleracea",1,NULL
"Bactris pilosa",1,NULL
"Bactris chocoensis",1,NULL
"Astrocaryum standleyanum",1,NULL
"Washingtonia filifera",1,NULL
"Welfia regia",1,NULL
"Aiphanes concinna",1,NULL
"Hyospathe elegans",1,NULL
