"especie","registros_gbif","conservacion"
"Attalea butyracea",4382,NULL
"Euterpe precatoria",3793,NULL
"Oenocarpus bataua",3081,NULL
"Oenocarpus bacaba",2478,NULL
"Iriartella setigera",2236,NULL
"Astrocaryum aculeatum",1503,NULL
"Attalea microcarpa",1301,NULL
"Geonoma deversa",1142,NULL
"Socratea exorrhiza",899,NULL
"Bactris acanthocarpa",751,NULL
"Bactris major",567,NULL
"Attalea maripa",378,NULL
"Manicaria saccifera",299,NULL
"Bactris hirta",226,NULL
"Bactris brongniartii",216,NULL
"Geonoma maxima",209,NULL
"Bactris simplicifrons",198,NULL
"Bactris corossilla",161,NULL
"Bactris maraja",152,NULL
"Leopoldinia pulchra",52,NULL
"Hyospathe elegans",43,NULL
"Astrocaryum acaule",42,NULL
"Bactris campestris",39,NULL
NULL,34,NULL
"Leopoldinia piassaba",30,NULL
"Desmoncus polyacanthos",24,NULL
"Geonoma macrostachys",21,NULL
"Attalea racemosa",19,NULL
"Desmoncus mitis",19,NULL
"Mauritiella aculeata",18,NULL
"Mauritiella pumila",15,NULL
"Bactris bidentula",13,NULL
"Mauritia carana",12,NULL
"Bactris fissifrons",9,NULL
"Desmoncus orthacanthos",8,NULL
"Syagrus orinocensis",7,NULL
"Desmoncus giganteus",7,NULL
"Mauritiella armata",7,NULL
"Lepidocaryum tenue",5,NULL
"Manicaria martiana",5,NULL
"Bactris balanophora",5,NULL
"Euterpe oleracea",5,NULL
"Euterpe catinga",3,NULL
"Bactris macroacantha",3,NULL
"Mauritia flexuosa",3,NULL
"Astrocaryum jauari",3,NULL
"Bactris pilosa",2,NULL
"Aiphanes horrida",2,NULL
"Bactris elegans",2,NULL
"Oenocarpus minor",1,NULL
"Astrocaryum gynacanthum",1,NULL
"Desmoncus myriacanthos",1,NULL
"Bactris concinna",1,NULL
