"especie","registros_gbif","conservacion"
"Syagrus orinocensis",99,NULL
"Geonoma deversa",82,NULL
"Socratea exorrhiza",42,NULL
"Euterpe precatoria",41,NULL
NULL,38,NULL
"Oenocarpus bacaba",37,NULL
"Bactris maraja",34,NULL
"Iriartea deltoidea",29,NULL
"Attalea insignis",27,NULL
"Oenocarpus minor",26,NULL
"Oenocarpus bataua",25,NULL
"Mauritia flexuosa",25,NULL
"Geonoma maxima",17,NULL
"Euterpe catinga",17,NULL
"Mauritiella aculeata",15,NULL
"Attalea racemosa",15,NULL
"Bactris brongniartii",15,NULL
"Attalea maripa",14,NULL
"Oenocarpus mapora",13,NULL
"Iriartella setigera",13,NULL
"Astrocaryum aculeatum",12,NULL
"Mauritia carana",12,NULL
"Bactris acanthocarpa",10,NULL
"Hyospathe elegans",8,NULL
"Chamaedorea pinnatifrons",8,NULL
"Geonoma interrupta",8,NULL
"Geonoma macrostachys",8,NULL
"Geonoma stricta",7,NULL
"Bactris simplicifrons",6,NULL
"Bactris corossilla",6,NULL
"Mauritiella armata",5,NULL
"Aiphanes lindeniana",5,NULL
"Astrocaryum acaule",4,NULL
"Astrocaryum chambira",4,NULL
"Syagrus inajai",2,NULL
"Geonoma leptospadix",2,NULL
"Desmoncus giganteus",1,NULL
"Cocos nucifera",1,NULL
"Desmoncus polyacanthos",1,NULL
"Geonoma laxiflora",1,NULL
"Bactris fissifrons",1,NULL
"Bactris gasipaes",1,NULL
"Chamaedorea linearis",1,NULL
"Desmoncus mitis",1,NULL
