"especie","registros_gbif","conservacion"
NULL,83,NULL
"Chamaedorea linearis",66,NULL
"Chamaedorea pinnatifrons",46,NULL
"Attalea butyracea",31,NULL
"Geonoma orbignyana",26,NULL
"Prestoea acuminata",18,NULL
"Wettinia praemorsa",17,NULL
"Wettinia fascicularis",15,NULL
"Geonoma undata",15,NULL
"Wettinia kalbreyeri",14,NULL
"Oenocarpus bataua",10,NULL
"Dictyocaryum lamarckianum",10,NULL
"Aiphanes concinna",8,NULL
"Aiphanes lindeniana",7,NULL
"Bactris setulosa",5,NULL
"Phytelephas macrocarpa",1,NULL
"Phytelephas seemannii",1,NULL
"Ceroxylon ventricosum",1,"En Peligro"
"Geonoma brongniartii",1,NULL
"Ceroxylon parvifrons",1,NULL
"Aiphanes simplex",1,NULL
"Socratea rostrata",1,NULL
"Cocos nucifera",1,NULL
