"especie","registros_gbif","conservacion"
"Attalea butyracea",51,NULL
"Elaeis oleifera",20,"En Peligro"
"Bactris gasipaes",13,NULL
"Acrocomia aculeata",13,NULL
"Chamaedorea pinnatifrons",10,NULL
"Euterpe precatoria",10,NULL
"Sabal mauritiiformis",9,NULL
"Geonoma interrupta",7,NULL
NULL,6,NULL
"Ceroxylon ceriferum",5,NULL
"Copernicia tectorum",5,NULL
"Bactris guineensis",5,NULL
"Astrocaryum malybo",3,NULL
"Bactris pilosa",2,NULL
"Chamaedorea linearis",1,NULL
"Dictyocaryum lamarckianum",1,NULL
"Geonoma orbignyana",1,NULL
"Attalea maracaibensis",1,NULL
"Wettinia praemorsa",1,NULL
"Desmoncus myriacanthos",1,NULL
