"especie","registros_gbif","conservacion"
"Attalea butyracea",43,NULL
"Ceroxylon ceriferum",40,NULL
NULL,38,NULL
"Prestoea acuminata",34,NULL
"Elaeis oleifera",31,"En Peligro"
"Bactris guineensis",28,NULL
"Geonoma interrupta",25,NULL
"Chamaedorea pinnatifrons",22,NULL
"Geonoma undata",18,NULL
"Chamaedorea linearis",16,NULL
"Geonoma orbignyana",15,NULL
"Elaeis guineensis",15,NULL
"Acrocomia aculeata",14,NULL
"Dictyocaryum lamarckianum",10,NULL
"Copernicia tectorum",8,NULL
"Euterpe precatoria",4,NULL
"Desmoncus myriacanthos",4,NULL
"Bactris setulosa",4,NULL
"Bactris gasipaes",3,NULL
"Sabal mauritiiformis",3,NULL
"Geonoma cuneata",2,NULL
"Geonoma pinnatifrons",2,NULL
"Oenocarpus mapora",2,NULL
"Bactris major",2,NULL
"Desmoncus orthacanthos",1,NULL
"Phoenix dactylifera",1,NULL
"Chamaedorea coralliana",1,NULL
"Cocos nucifera",1,NULL
"Desmoncus giganteus",1,NULL
