"especie","registros_gbif","conservacion"
"Mauritia flexuosa",2070,NULL
"Ceroxylon quindiuense",1591,"En Peligro"
"Syagrus orinocensis",416,NULL
"Socratea exorrhiza",334,NULL
"Oenocarpus minor",300,NULL
"Oenocarpus bataua",271,NULL
"Euterpe precatoria",223,NULL
"Attalea insignis",219,NULL
"Astrocaryum chambira",128,NULL
"Attalea maripa",102,NULL
"Geonoma interrupta",96,NULL
"Euterpe oleracea",94,NULL
NULL,69,NULL
"Astrocaryum aculeatum",62,NULL
"Geonoma deversa",61,NULL
"Geonoma euspatha",59,NULL
"Iriartea deltoidea",47,NULL
"Bactris maraja",47,NULL
"Wettinia praemorsa",41,NULL
"Bactris corossilla",39,NULL
"Oenocarpus bacaba",35,NULL
"Hyospathe elegans",32,NULL
"Oenocarpus mapora",27,NULL
"Geonoma orbignyana",23,NULL
"Chamaedorea pinnatifrons",16,NULL
"Attalea butyracea",14,NULL
"Geonoma brongniartii",12,NULL
"Aiphanes horrida",12,NULL
"Bactris brongniartii",11,NULL
"Astrocaryum gynacanthum",11,NULL
"Elaeis oleifera",10,"En Peligro"
"Geonoma longepedunculata",9,NULL
"Geonoma undata",9,NULL
"Syagrus inajai",9,NULL
"Astrocaryum standleyanum",9,NULL
"Desmoncus polyacanthos",7,NULL
"Acrocomia aculeata",7,NULL
"Astrocaryum acaule",6,NULL
"Bactris major",6,NULL
"Bactris gasipaes",6,NULL
"Elaeis guineensis",5,NULL
"Astrocaryum jauari",4,NULL
"Attalea amygdalina",4,"En Peligro"
"Iriartella setigera",4,NULL
"Synechanthus cuatrecasanus",3,NULL
"Geonoma pinnatifrons",3,NULL
"Syagrus sancona",3,"Vulnerable"
"Attalea luetzelburgii",3,NULL
"Copernicia tectorum",3,NULL
"Bactris acanthocarpa",3,NULL
"Desmoncus myriacanthos",2,NULL
"Chamaedorea pygmaea",2,NULL
"Chamaedorea cataractarum",2,NULL
"Bactris pilosa",2,NULL
"Attalea septuagenata",2,NULL
"Leopoldinia piassaba",2,NULL
"Attalea nucifera",2,"Vulnerable"
"Attalea magdalenica",2,NULL
"Wettinia kalbreyeri",2,NULL
"Dictyocaryum lamarckianum",1,NULL
"Geonoma leptospadix",1,NULL
"Aiphanes lindeniana",1,NULL
"Desmoncus mitis",1,NULL
"Oenocarpus altissima",1,NULL
"Aiphanes linearis",1,NULL
"Caryota mitis",1,NULL
"Attalea cuatrecasana",1,NULL
"Attalea amylacea",1,NULL
"Prestoea acuminata",1,NULL
"Chamaedorea coralliana",1,NULL
"Chelyocarpus dianeurus",1,NULL
"Cocos nucifera",1,NULL
"Geonoma simplicifrons",1,NULL
"Geonoma spinescens",1,NULL
"Geonoma stricta",1,NULL
"Geonoma platyphylla",1,NULL
"Geonoma macrostachys",1,NULL
