"especie","registros_gbif","conservacion"
"Prestoea acuminata",17351,NULL
"Aiphanes erinacea",14485,NULL
"Chamaedorea pinnatifrons",2614,NULL
"Geonoma undata",2071,NULL
"Wettinia kalbreyeri",237,NULL
"Chamaedorea linearis",136,NULL
NULL,34,NULL
"Aiphanes gelatinosa",19,"Vulnerable"
"Aiphanes hirsuta",18,NULL
"Euterpe oleracea",17,NULL
"Geonoma cuneata",13,NULL
"Phytelephas tumacana",13,"En Peligro"
"Attalea cuatrecasana",13,NULL
"Wettinia oxycarpa",13,NULL
"Parajubaea cocoides",12,NULL
"Prestoea decurrens",12,NULL
"Attalea colenda",12,"En Peligro"
"Socratea rostrata",11,NULL
"Geonoma stricta",10,NULL
"Chamaedorea deneversiana",10,NULL
"Ceroxylon vogelianum",9,NULL
"Wettinia castanea",9,NULL
"Astrocaryum standleyanum",7,NULL
"Bactris setulosa",7,NULL
"Welfia regia",6,NULL
"Bactris coloradonis",6,NULL
"Geonoma deversa",6,NULL
"Pholidostachys dactyloides",6,NULL
"Pholidostachys synanthera",6,NULL
"Wettinia verruculosa",5,NULL
"Iriartea deltoidea",5,NULL
"Desmoncus cirrhifer",5,NULL
"Asterogyne martiana",4,NULL
"Wettinia quinaria",4,NULL
"Socratea exorrhiza",3,NULL
"Prestoea ensiformis",3,NULL
"Synechanthus warscewiczianus",3,NULL
"Oenocarpus bataua",3,NULL
"Oenocarpus mapora",3,NULL
"Ceroxylon quindiuense",3,"En Peligro"
"Hyospathe elegans",3,NULL
"Desmoncus polyacanthos",2,NULL
"Aiphanes macroloba",2,NULL
"Aiphanes ulei",2,NULL
"Bactris gasipaes",2,NULL
"Aiphanes concinna",2,NULL
"Geonoma interrupta",2,NULL
"Wettinia aequalis",1,NULL
"Washingtonia filifera",1,NULL
"Pholidostachys occidentalis",1,NULL
"Oenocarpus minor",1,NULL
"Wettinia praemorsa",1,NULL
"Geonoma macrostachys",1,NULL
"Bactris maraja",1,NULL
"Aiphanes tricuspidata",1,NULL
