"especie","registros_gbif","conservacion"
"Geonoma undata",47,NULL
NULL,32,NULL
"Chamaedorea pinnatifrons",23,NULL
"Wettinia praemorsa",19,NULL
"Prestoea acuminata",18,NULL
"Geonoma orbignyana",15,NULL
"Bactris gasipaes",14,NULL
"Oenocarpus bataua",12,NULL
"Mauritiidites franciscoi",12,NULL
"Euterpe precatoria",12,NULL
"Geonoma interrupta",10,NULL
"Bactris corossilla",6,NULL
"Ceroxylon parvifrons",5,NULL
"Racemonocolpites facilis",5,NULL
"Phytelephas macrocarpa",4,NULL
"Ceroxylon vogelianum",4,NULL
"Bactris setulosa",4,NULL
"Geonoma deversa",3,NULL
"Geonoma santanderensis",3,"Vulnerable"
"Oenocarpus minor",3,NULL
"Monocolpites racematus",2,NULL
"Racemonocolpites romanus",2,NULL
"Socratea exorrhiza",2,NULL
"Syagrus sancona",2,"Vulnerable"
"Bactris major",1,NULL
"Asterogyne martiana",1,NULL
"Attalea butyracea",1,NULL
"Wettinia microcarpa",1,"Vulnerable"
"Roystonea oleracea",1,NULL
