"especie","registros_gbif","conservacion"
"Ceroxylon alpinum",137,"En Peligro"
"Chamaedorea pinnatifrons",70,NULL
"Ceroxylon quindiuense",50,"En Peligro"
NULL,49,NULL
"Geonoma undata",35,NULL
"Prestoea acuminata",33,NULL
"Aiphanes simplex",28,NULL
"Chamaedorea linearis",24,NULL
"Aiphanes horrida",22,NULL
"Geonoma interrupta",21,NULL
"Euterpe precatoria",12,NULL
"Dypsis lutescens",8,NULL
"Wettinia kalbreyeri",6,NULL
"Geonoma orbignyana",6,NULL
"Bactris gasipaes",4,NULL
"Ceroxylon parvifrons",4,NULL
"Aiphanes lindeniana",3,NULL
"Attalea butyracea",3,NULL
"Chamaedorea tepejilote",1,NULL
"Ceroxylon vogelianum",1,NULL
"Bactris glandulosa",1,NULL
"Geonoma frontinensis",1,NULL
"Bactris guineensis",1,NULL
"Bismarckia nobilis",1,NULL
"Arenga pinnata",1,NULL
"Aiphanes linearis",1,NULL
"Roystonea regia",1,NULL
"Socratea exorrhiza",1,NULL
"Bactris setulosa",1,NULL
"Bactris major",1,NULL
