"especie","registros_gbif","conservacion"
"Chamaedorea linearis",156,NULL
"Syagrus sancona",53,"Vulnerable"
"Geonoma undata",45,NULL
NULL,39,NULL
"Chamaedorea pinnatifrons",39,NULL
"Geonoma orbignyana",29,NULL
"Prestoea ensiformis",24,NULL
"Prestoea acuminata",24,NULL
"Ceroxylon quindiuense",20,"En Peligro"
"Aiphanes lindeniana",20,NULL
"Aiphanes hirsuta",17,NULL
"Wettinia kalbreyeri",15,NULL
"Pholidostachys synanthera",10,NULL
"Wettinia fascicularis",9,NULL
"Dictyocaryum lamarckianum",7,NULL
"Aiphanes simplex",6,NULL
"Chamaedorea deneversiana",6,NULL
"Aiphanes concinna",6,NULL
"Chamaedorea allenii",5,NULL
"Bactris gasipaes",4,NULL
"Prestoea decurrens",4,NULL
"Ceroxylon alpinum",4,"En Peligro"
"Chamaedorea tepejilote",4,NULL
"Geonoma interrupta",4,NULL
"Ceroxylon parvifrons",4,NULL
"Aiphanes horrida",2,NULL
"Geonoma cuneata",2,NULL
"Attalea butyracea",2,NULL
"Prestoea simplicifolia",2,"En Peligro"
"Pholidostachys pulchra",1,NULL
"Pholidostachys dactyloides",1,NULL
"Archontophoenix cunninghamiana",1,NULL
"Hyospathe elegans",1,NULL
"Archontophoenix alexandrae",1,NULL
"Cocos nucifera",1,NULL
"Roystonea regia",1,NULL
"Aiphanes tatama",1,NULL
"Geonoma lehmannii",1,NULL
"Dypsis lutescens",1,NULL
"Wettinia quinaria",1,NULL
"Pholidostachys occidentalis",1,NULL
