"especie","registros_gbif","conservacion"
NULL,189,NULL
"Geonoma orbignyana",80,NULL
"Ceroxylon quindiuense",57,"En Peligro"
"Chamaedorea pinnatifrons",57,NULL
"Aiphanes lindeniana",50,NULL
"Oenocarpus minor",43,NULL
"Elaeis oleifera",40,"En Peligro"
"Prestoea acuminata",38,NULL
"Wettinia microcarpa",37,"Vulnerable"
"Astrocaryum malybo",36,NULL
"Geonoma interrupta",30,NULL
"Aiphanes horrida",30,NULL
"Hyospathe elegans",27,NULL
"Attalea nucifera",26,"Vulnerable"
"Geonoma undata",25,NULL
"Euterpe oleracea",21,NULL
"Elaeis guineensis",20,NULL
"Wettinia praemorsa",20,NULL
"Chamaedorea linearis",19,NULL
"Aiphanes graminifolia",19,"En Peligro Critico"
"Bactris pilosa",19,NULL
"Euterpe precatoria",19,NULL
"Oenocarpus bataua",18,NULL
"Bactris brongniartii",18,NULL
"Geonoma santanderensis",18,"Vulnerable"
"Bactris maraja",17,NULL
"Geonoma deversa",17,NULL
"Aiphanes concinna",15,NULL
"Aiphanes killipii",15,NULL
"Aiphanes hirsuta",15,NULL
"Attalea butyracea",13,NULL
"Welfia regia",13,NULL
"Bactris setulosa",13,NULL
"Bactris gasipaes",13,NULL
"Phytelephas macrocarpa",11,NULL
"Geonoma cuneata",11,NULL
"Ceroxylon vogelianum",10,NULL
"Wettinia hirsuta",10,"Vulnerable"
"Geonoma calyptrogynoidea",9,NULL
"Prestoea carderi",8,NULL
"Aiphanes simplex",8,NULL
"Acrocomia aculeata",7,NULL
"Dictyocaryum lamarckianum",7,NULL
"Socratea exorrhiza",7,NULL
"Geonoma frontinensis",6,NULL
"Chamaedorea tepejilote",6,NULL
"Geonoma maxima",6,NULL
"Mauritiidites franciscoi",6,NULL
"Spinizonocolpites baculatus",5,NULL
"Prestoea longepetiolata",5,NULL
"Chamaedorea ricardoi",5,"En Peligro"
"Astrocaryum triandrum",5,"En Peligro"
"Pholidostachys synanthera",5,NULL
"Desmoncus orthacanthos",5,NULL
"Ceroxylon parvifrons",4,NULL
"Geonoma concinna",4,NULL
"Cryosophila kalbreyeri",4,"Vulnerable"
"Cocos nucifera",4,NULL
"Chamaedorea pygmaea",4,NULL
"Iriartea deltoidea",4,NULL
"Attalea cohune",4,"En Peligro"
"Syagrus sancona",4,"Vulnerable"
"Licuala grandis",3,NULL
"Racemonocolpites facilis",3,NULL
"Ceroxylon ventricosum",3,"En Peligro"
"Attalea racemosa",2,NULL
"Adonidia merrillii",2,NULL
"Ammandra decasperma",2,NULL
"Geonoma congesta",2,NULL
"Ceroxylon sasaimae",2,"En Peligro Critico"
"Dypsis lutescens",1,NULL
"Desmoncus myriacanthos",1,NULL
"Asterogyne martiana",1,NULL
"Livistona chinensis",1,NULL
"Roystonea regia",1,NULL
"Bactris guineensis",1,NULL
"Aiphanes linearis",1,NULL
"Attalea allenii",1,NULL
"Geonoma pinnatifrons",1,NULL
"Prestoea longipetiolata",1,NULL
"Monocolpites racematus",1,NULL
"Sabal mauritiiformis",1,NULL
