"especie","registros_gbif","conservacion"
"Ceroxylon quindiuense",4205,"En Peligro"
"Bactris pilosa",49,NULL
NULL,29,NULL
"Geonoma undata",21,NULL
"Attalea butyracea",20,NULL
"Prestoea acuminata",17,NULL
"Aiphanes horrida",13,NULL
"Oenocarpus minor",11,NULL
"Phytelephas macrocarpa",10,NULL
"Euterpe precatoria",9,NULL
"Astrocaryum malybo",7,NULL
"Bactris major",7,NULL
"Chamaedorea pinnatifrons",6,NULL
"Sabal mauritiiformis",6,NULL
"Chamaedorea linearis",4,NULL
"Aiphanes lindeniana",3,NULL
"Phoenix roebelenii",2,NULL
"Mauritia flexuosa",2,NULL
"Prestoea carderi",1,NULL
"Socratea exorrhiza",1,NULL
"Washingtonia robusta",1,NULL
"Bactris gasipaes",1,NULL
