"especie","registros_gbif","conservacion"
"Iriartella setigera",90,NULL
NULL,66,NULL
"Geonoma maxima",39,NULL
"Geonoma deversa",37,NULL
"Attalea luetzelburgii",35,NULL
"Geonoma stricta",32,NULL
"Bactris fissifrons",31,NULL
"Lepidocaryum tenue",31,NULL
"Bactris simplicifrons",30,NULL
"Oenocarpus bataua",30,NULL
"Bactris maraja",28,NULL
"Euterpe precatoria",27,NULL
"Hyospathe elegans",26,NULL
"Euterpe catinga",24,NULL
"Socratea exorrhiza",23,NULL
"Geonoma macrostachys",20,NULL
"Attalea microcarpa",17,NULL
"Astrocaryum acaule",17,NULL
"Bactris hirta",17,NULL
"Manicaria martiana",16,NULL
"Bactris acanthocarpa",15,NULL
"Bactris bidentula",14,NULL
"Manicaria saccifera",13,NULL
"Mauritiella aculeata",12,NULL
"Mauritiella armata",11,NULL
"Mauritia flexuosa",11,NULL
"Desmoncus intermedius",11,NULL
"Oenocarpus circumtextus",10,"Vulnerable"
"Bactris corossilla",10,NULL
"Bactris balanophora",10,NULL
"Syagrus orinocensis",9,NULL
"Chamaedorea pauciflora",9,NULL
"Attalea racemosa",9,NULL
"Astrocaryum aculeatum",9,NULL
"Geonoma leptospadix",8,NULL
"Bactris gasipaes",8,NULL
"Desmoncus mitis",8,NULL
"Oenocarpus bacaba",8,NULL
"Bactris riparia",7,NULL
"Mauritia carana",7,NULL
"Bactris macroacantha",6,NULL
"Attalea maripa",5,NULL
"Geonoma camana",5,NULL
"Oenocarpus minor",4,NULL
"Attalea insignis",4,NULL
"Iriartea deltoidea",4,NULL
"Wettinia drudei",3,NULL
"Bactris killipii",2,NULL
"Astrocaryum chambira",2,NULL
"Syagrus inajai",2,NULL
"Cocos nucifera",2,NULL
"Desmoncus giganteus",1,NULL
"Elaeis guineensis",1,NULL
"Geonoma triglochin",1,NULL
"Bactris campestris",1,NULL
"Desmoncus polyacanthos",1,NULL
"Desmoncus interjectus",1,NULL
"Astrocaryum jauari",1,NULL
