"especie","registros_gbif","conservacion"
"Attalea butyracea",1779,NULL
"Euterpe precatoria",1748,NULL
"Socratea exorrhiza",1422,NULL
"Attalea maripa",502,NULL
"Oenocarpus bacaba",472,NULL
"Iriartella setigera",412,NULL
"Bactris acanthocarpa",212,NULL
"Bactris bidentula",205,NULL
"Geonoma maxima",122,NULL
"Bactris simplicifrons",116,NULL
NULL,96,NULL
"Geonoma deversa",44,NULL
"Leopoldinia pulchra",38,NULL
"Bactris maraja",36,NULL
"Geonoma macrostachys",32,NULL
"Oenocarpus bataua",28,NULL
"Bactris brongniartii",27,NULL
"Bactris hirta",27,NULL
"Syagrus orinocensis",25,NULL
"Astrocaryum acaule",24,NULL
"Astrocaryum jauari",22,NULL
"Desmoncus polyacanthos",16,NULL
"Astrocaryum gynacanthum",14,NULL
"Oenocarpus minor",10,NULL
"Astrocaryum aculeatum",9,NULL
"Desmoncus myriacanthos",9,NULL
"Mauritiella armata",7,NULL
"Iriartea deltoidea",6,NULL
"Manicaria saccifera",6,NULL
"Euterpe catinga",5,NULL
"Bactris major",5,NULL
"Mauritia flexuosa",5,NULL
"Bactris campestris",4,NULL
"Mauritiella aculeata",4,NULL
"Attalea microcarpa",4,NULL
"Geonoma brongniartii",3,NULL
"Geonoma poiteauana",2,NULL
"Bactris fissifrons",2,NULL
"Desmoncus mitis",2,NULL
"Geonoma leptospadix",2,NULL
"Bactris macroacantha",2,NULL
"Geonoma stricta",1,NULL
"Geonoma poeppigiana",1,NULL
"Bactris balanophora",1,NULL
"Oenocarpus balickii",1,NULL
"Astrocaryum ferrugineum",1,NULL
"Acrocomia aculeata",1,NULL
"Bactris elegans",1,NULL
"Desmoncus horridus",1,NULL
"Syagrus smithii",1,NULL
"Bactris killipii",1,NULL
