"especie","registros_gbif"
"Wettinia quinaria",5144
"Oenocarpus bataua",3494
"Welfia regia",1699
"Euterpe oleracea",1168
"Socratea exorrhiza",1050
"Oenocarpus minor",970
"Geonoma cuneata",890
"Ammandra decasperma",687
"Attalea allenii",563
"Asterogyne martiana",528
"Wettinia radiata",507
"Euterpe precatoria",474
"Bactris maraja",452
"Manicaria saccifera",400
"Astrocaryum standleyanum",386
"Bactris coloniata",370
"Elaeis oleifera",361
"Raphia taedigera",335
NULL,281
"Bactris obovata",270
"Geonoma deversa",236
"Hyospathe elegans",228
"Geonoma congesta",223
"Pholidostachys dactyloides",203
"Mauritiella macroclada",188
"Bactris coloradonis",170
"Prestoea decurrens",169
"Wettinia aequalis",158
"Geonoma interrupta",130
"Chelyocarpus dianeurus",125
"Iriartea deltoidea",115
"Geonoma divisa",96
"Bactris barronis",77
"Desmoncus cirrhiferus",53
"Oenocarpus mapora",49
"Synechanthus warscewiczianus",47
"Geonoma triandra",47
"Bactris setulosa",44
"Pholidostachys pulchra",40
"Bactris gasipaes",40
"Bactris pilosa",38
"Aiphanes macroloba",33
"Geonoma chococola",30
"Desmoncus cirrhifer",30
"Attalea cuatrecasana",27
"Geonoma paradoxa",25
"Bactris brongniartii",23
"Chamaedorea linearis",23
"Aiphanes tricuspidata",21
"Geonoma calyptrogynoidea",21
"Geonoma pinnatifrons",20
"Aiphanes hirsuta",20
"Chamaedorea deneversiana",19
"Chamaedorea tepejilote",18
"Bactris glandulosa",17
"Reinhardtia koschnyana",17
"Desmoncus myriacanthos",15
"Phytelephas macrocarpa",11
"Chamaedorea allenii",11
"Socratea hecatonandra",10
"Astrocaryum malybo",9
"Cryosophila macrocarpa",9
"Aiphanes acaulis",7
"Calyptrogyne baudensis",7
"Desmoncus orthacanthos",7
"Bactris cuspidata",7
"Cryosophila kalbreyeri",6
"Chamaedorea pinnatifrons",6
"Cocos nucifera",6
"Phytelephas seemannii",6
"Bactris kunorum",6
"Calyptrogyne costatifrons",6
"Pholidostachys kalbreyeri",6
"Attalea butyracea",5
"Attalea iguadummat",5
"Geonoma stricta",5
"Prestoea pubens",5
"Welfia georgii",5
"Chamaedorea warscewiczii",4
"Dictyocaryum lamarckianum",4
"Aiphanes buenaventurae",4
"Archontophoenix cunninghamiana",4
"Calyptrogyne ghiesbreghtiana",4
"Chamaedorea subjectifolia",3
"Wettinia fascicularis",3
"Bactris charnleyae",3
"Reinhardtia simplex",3
"Desmoncus horridus",3
"Geonoma chlamydostachys",3
"Desmoncus giganteus",2
"Geonoma dindoensis",2
"Geonoma gentryi",2
"Hyospathe frontinensis",2
"Pholidostachys mooreana",2
"Pholidostachys panamensis",2
"Prestoea simplicifolia",1
"Sabinaria magnifica",1
"Geonoma orbignyana",1
"Geonoma macrostachys",1
"Geonoma leptospadix",1
"Acrocomia aculeata",1
"Aiphanes horrida",1
"Geonoma frontinensis",1
"Geonoma concinna",1
"Wettinia kalbreyeri",1
"Aiphanes gelatinosa",1
"Desmoncus mitis",1
"Bactris rostrata",1
