"especie","registros_gbif"
"Wettinia quinaria",4534
"Oenocarpus bataua",1746
"Welfia regia",1038
"Oenocarpus minor",951
"Socratea exorrhiza",739
"Geonoma cuneata",682
"Asterogyne martiana",451
"Bactris maraja",419
"Attalea allenii",384
"Manicaria saccifera",366
"Bactris coloniata",360
"Raphia taedigera",335
"Elaeis oleifera",312
"Euterpe oleracea",254
"Bactris obovata",220
"Euterpe precatoria",206
NULL,201
"Mauritiella macroclada",180
"Pholidostachys dactyloides",164
"Ammandra decasperma",162
"Wettinia radiata",158
"Bactris coloradonis",138
"Wettinia aequalis",137
"Geonoma deversa",126
"Geonoma congesta",92
"Chelyocarpus dianeurus",90
"Geonoma divisa",88
"Bactris barronis",77
"Hyospathe elegans",68
"Geonoma interrupta",58
"Astrocaryum standleyanum",41
"Aiphanes macroloba",37
"Aiphanes hirsuta",35
"Desmoncus cirrhiferus",31
"Prestoea decurrens",31
"Synechanthus warscewiczianus",30
"Wettinia kalbreyeri",30
"Chamaedorea linearis",29
"Chamaedorea pinnatifrons",29
"Geonoma triandra",27
"Bactris gasipaes",27
"Chamaedorea allenii",26
"Bactris setulosa",24
"Iriartea deltoidea",23
"Bactris pilosa",21
"Geonoma chococola",18
"Socratea hecatonandra",18
"Aiphanes acaulis",18
"Desmoncus cirrhifer",17
"Geonoma undata",16
"Chamaedorea tepejilote",16
"Bactris brongniartii",16
"Bactris glandulosa",14
"Geonoma calyptrogynoidea",14
"Geonoma pinnatifrons",12
"Socratea rostrata",12
"Cocos nucifera",11
"Desmoncus myriacanthos",11
"Chamaedorea deneversiana",11
"Wettinia castanea",10
"Wettinia oxycarpa",10
"Cryosophila macrocarpa",9
"Prestoea acuminata",9
"Welfia georgii",8
"Calyptrogyne costatifrons",7
"Calyptrogyne baudensis",7
"Oenocarpus mapora",7
"Pholidostachys pulchra",7
"Pholidostachys kalbreyeri",6
"Geonoma stricta",6
"Wettinia fascicularis",6
"Reinhardtia gracilis",6
"Attalea iguadummat",5
"Chamaedorea warscewiczii",5
"Cryosophila kalbreyeri",4
"Attalea cuatrecasana",4
"Astrocaryum malybo",4
"Aiphanes buenaventurae",4
"Calyptrogyne ghiesbreghtiana",4
"Desmoncus orthacanthos",4
"Reinhardtia koschnyana",4
"Desmoncus horridus",3
"Geonoma ferruginea",3
"Geonoma chlamydostachys",3
"Chamaedorea subjectifolia",3
"Bactris charnleyae",3
"Geonoma lehmannii",3
"Pholidostachys panamensis",2
"Phytelephas macrocarpa",2
"Chamaedorea ponderosa",2
"Hyospathe frontinensis",2
"Bactris rostrata",2
"Geonoma gentryi",2
"Aiphanes tricuspidata",2
"Pholidostachys mooreana",2
"Aiphanes simplex",2
"Sabinaria magnifica",1
"Chamaedorea deckeriana",1
"Ceroxylon parvifrons",1
"Geonoma frontinensis",1
"Acrocomia aculeata",1
"Bactris turbinocarpa",1
"Geonoma paradoxa",1
"Geonoma orbignyana",1
"Dictyocaryum lamarckianum",1
"Chamaedorea pumila",1
"Wettinia disticha",1
"Prestoea ensiformis",1
"Prestoea longepetiolata",1
"Chamaedorea klotzschiana",1
"Chamaedorea woodsoniana",1
"Geonoma leptospadix",1
