"especie","registros_gbif"
"Oenocarpus bataua",3953
"Euterpe oleracea",3456
"Wettinia quinaria",1406
"Welfia regia",1122
"Ammandra decasperma",529
"Euterpe precatoria",500
"Socratea exorrhiza",488
"Wettinia radiata",477
"Astrocaryum standleyanum",379
"Geonoma cuneata",350
"Geonoma congesta",309
"Hyospathe elegans",247
NULL,219
"Attalea allenii",216
"Prestoea decurrens",179
"Attalea cuatrecasana",163
"Geonoma deversa",153
"Iriartea deltoidea",147
"Prestoea acuminata",124
"Asterogyne martiana",123
"Chamaedorea tepejilote",120
"Chelyocarpus dianeurus",115
"Manicaria saccifera",107
"Bactris obovata",104
"Geonoma interrupta",100
"Roystonea regia",86
"Syagrus sancona",84
"Pholidostachys dactyloides",81
"Bactris setulosa",77
"Chamaedorea pinnatifrons",76
"Geonoma paradoxa",76
"Pholidostachys pulchra",73
"Attalea amygdalina",67
"Elaeis guineensis",58
"Bactris coloradonis",51
"Chamaedorea linearis",49
"Oenocarpus minor",49
"Elaeis oleifera",46
"Synechanthus warscewiczianus",46
"Oenocarpus mapora",43
"Bactris maraja",41
"Bactris gasipaes",38
"Aiphanes simplex",34
"Attalea butyracea",34
"Chamaedorea deneversiana",30
"Geonoma undata",30
"Wettinia aequalis",30
"Ceroxylon quindiuense",28
"Mauritiella macroclada",27
"Bactris cuspidata",25
"Bactris coloniata",25
"Geonoma chococola",22
"Desmoncus cirrhiferus",22
"Aiphanes tricuspidata",21
"Aiphanes horrida",19
"Cocos nucifera",16
"Geonoma triandra",15
"Adonidia merrillii",15
"Dypsis madagascariensis",14
"Wettinia fascicularis",14
"Dypsis lutescens",14
"Bactris barronis",14
"Geonoma orbignyana",14
"Sabal mauritiiformis",13
"Socratea hecatonandra",11
"Wettinia kalbreyeri",11
"Geonoma calyptrogynoidea",10
"Geonoma pinnatifrons",8
"Aiphanes duquei",7
"Prestoea ensiformis",7
"Ceroxylon vogelianum",6
"Desmoncus cirrhifer",6
"Bactris kunorum",6
"Prestoea pubens",6
"Bactris manriquei",5
"Washingtonia robusta",5
"Ceroxylon alpinum",5
"Aiphanes hirsuta",5
"Phoenix dactylifera",5
"Chamaedorea christinae",4
"Archontophoenix alexandrae",4
"Bactris major",3
"Ceroxylon parvifrons",3
"Geonoma concinna",3
"Phytelephas macrocarpa",3
"Phoenix roebelenii",3
"Wettinia castanea",3
"Aiphanes linearis",3
"Copernicia tectorum",3
"Caryota mitis",3
"Phytelephas seemannii",2
"Chamaedorea pygmaea",2
"Wettinia disticha",2
"Acrocomia aculeata",2
"Aiphanes lindeniana",2
"Geonoma macrostachys",2
"Geonoma dindoensis",2
"Bactris brongniartii",1
"Licuala grandis",1
"Attalea racemosa",1
"Geonoma frontinensis",1
"Bactris guineensis",1
"Pholidostachys kalbreyeri",1
"Pholidostachys synanthera",1
"Aiphanes multiplex",1
"Desmoncus orthacanthos",1
"Chamaedorea adscendens",1
"Aiphanes macroloba",1
"Trachycarpus fortunei",1
"Chamaedorea costaricana",1
"Wettinia lanata",1
"Wettinia oxycarpa",1
