"especie","registros_gbif"
NULL,65
"Hyospathe elegans",28
"Geonoma deversa",27
"Geonoma stricta",26
"Bactris maraja",14
"Attalea butyracea",14
"Geonoma macrostachys",11
"Euterpe precatoria",9
"Desmoncus mitis",8
"Attalea plowmanii",8
"Bactris concinna",8
"Iriartea deltoidea",7
"Oenocarpus minor",7
"Astrocaryum ferrugineum",7
"Geonoma camana",6
"Astrocaryum chambira",6
"Socratea exorrhiza",5
"Chamaedorea pinnatifrons",5
"Bactris simplicifrons",5
"Geonoma brongniartii",5
"Chamaedorea pauciflora",5
"Geonoma maxima",4
"Astrocaryum murumuru",3
"Bactris riparia",3
"Desmoncus polyacanthos",3
"Bactris acanthocarpa",3
"Geonoma laxiflora",3
"Geonoma leptospadix",3
"Attalea insignis",3
"Astrocaryum macrocalyx",2
"Astrocaryum jauari",2
"Prestoea schultzeana",2
"Desmoncus orthacanthos",1
"Bactris bifida",1
"Bactris fissifrons",1
"Bactris hirta",1
"Astrocaryum aculeatum",1
"Lepidocaryum tenue",1
"Mauritia flexuosa",1
"Oenocarpus bacaba",1
