"especie","registros_gbif"
"Oenocarpus bataua",165
"Lepidocaryum tenue",160
NULL,80
"Iriartella setigera",55
"Oenocarpus bacaba",51
"Geonoma deversa",49
"Wettinia drudei",47
"Iriartella stenocarpa",46
"Euterpe catinga",40
"Bactris acanthocarpa",40
"Attalea racemosa",37
"Bactris hirta",34
"Bactris balanophora",33
"Bactris fissifrons",32
"Astrocaryum gynacanthum",29
"Geonoma maxima",28
"Attalea microcarpa",27
"Bactris major",25
"Attalea insignis",21
"Bactris simplicifrons",20
"Geonoma stricta",20
"Astrocaryum aculeatum",20
"Astrocaryum chambira",17
"Syagrus orinocensis",17
"Socratea exorrhiza",16
"Astrocaryum acaule",16
"Attalea maripa",11
"Euterpe precatoria",11
"Mauritiella aculeata",9
"Bactris maraja",8
"Bactris elegans",6
"Mauritiella armata",5
"Desmoncus intermedius",4
"Oenocarpus minor",3
"Oenocarpus mapora",3
"Hyospathe elegans",2
"Geonoma macrostachys",2
"Bactris bidentula",2
"Bactris corossilla",2
"Bactris macroacantha",2
"Desmoncus polyacanthos",2
"Mauritia flexuosa",1
"Geonoma leptospadix",1
"Desmoncus giganteus",1
"Astrocaryum jauari",1
"Iriartea deltoidea",1
