"especie","registros_gbif"
"Ceroxylon quindiuense",4274
NULL,577
"Euterpe precatoria",540
"Geonoma orbignyana",257
"Chamaedorea pinnatifrons",216
"Geonoma undata",193
"Chamaedorea linearis",172
"Oenocarpus bataua",169
"Welfia regia",162
"Wettinia fascicularis",155
"Ceroxylon sasaimae",145
"Geonoma interrupta",126
"Prestoea acuminata",121
"Aiphanes lindeniana",121
"Wettinia kalbreyeri",96
"Hyospathe elegans",79
"Wettinia praemorsa",79
"Oenocarpus minor",62
"Geonoma triglochin",57
"Bactris gasipaes",56
"Ceroxylon vogelianum",56
"Ceroxylon alpinum",53
"Aiphanes hirsuta",51
"Wettinia hirsuta",49
"Prestoea carderi",49
"Dictyocaryum lamarckianum",49
"Asterogyne martiana",48
"Aiphanes horrida",46
"Bactris pilosa",43
"Elaeis oleifera",42
"Ceroxylon parvifrons",39
"Pholidostachys synanthera",37
"Aiphanes linearis",35
"Wettinia microcarpa",33
"Aiphanes concinna",33
"Iriartea deltoidea",33
"Bactris setulosa",32
"Geonoma deversa",31
"Cryosophila kalbreyeri",29
"Attalea butyracea",29
"Socratea rostrata",28
"Chamaedorea ricardoi",28
"Aiphanes parvifolia",28
"Aiphanes simplex",27
"Chamaedorea tepejilote",27
"Geonoma chlamydostachys",25
"Geonoma santanderensis",21
"Aiphanes graminifolia",19
"Phytelephas macrocarpa",18
"Socratea exorrhiza",16
"Wettinia anomala",15
"Aiphanes killipii",15
"Bactris maraja",14
"Astrocaryum triandrum",14
"Geonoma frontinensis",14
"Geonoma stricta",13
"Geonoma lehmannii",13
"Attalea nucifera",13
"Geonoma cuneata",13
"Astrocaryum malybo",13
"Euterpe oleracea",12
"Hyospathe wendlandiana",11
"Cocos nucifera",11
"Syagrus romanzoffiana",11
"Syagrus sancona",10
"Bactris barronis",10
"Attalea cohune",10
"Geonoma multisecta",10
"Geonoma brongniartii",9
"Prestoea ensiformis",9
"Pholidostachys dactyloides",8
"Oenocarpus mapora",8
"Dypsis lutescens",8
"Ammandra decasperma",8
"Archontophoenix cunninghamiana",8
"Elaeis guineensis",7
"Aiphanes ulei",7
"Pholidostachys sanluisensis",7
"Geonoma galeanoae",7
"Geonoma concinna",6
"Geonoma pinnatifrons",6
"Licuala grandis",6
"Mauritiidites franciscoi",6
"Phoenix canariensis",6
"Adonidia merrillii",5
"Attalea maripa",5
"Spinizonocolpites baculatus",5
"Prestoea longepetiolata",5
"Chamaedorea pygmaea",4
"Ceroxylon ventricosum",4
"Roystonea regia",4
"Acrocomia aculeata",4
"Archontophoenix alexandrae",4
"Phoenix dactylifera",4
"Rhapis excelsa",4
"Aiphanes leiostachys",4
"Hyospathe frontinensis",4
"Racemonocolpites facilis",3
"Sabal mauritiiformis",3
"Syagrus orinocensis",3
"Howea forsteriana",3
"Chamaedorea ponderosa",3
"Desmoncus orthacanthos",3
"Wettinia aequatorialis",3
"Chamaedorea warscewiczii",3
"Livistona chinensis",3
"Desmoncus cirrhifer",3
"Attalea amygdalina",3
"Aiphanes argos",2
"Attalea allenii",2
"Wettinia quinaria",2
"Prestoea decurrens",2
"Geonoma congesta",2
"Reinhardtia koschnyana",2
"Bactris brongniartii",2
"Saribus rotundifolius",2
"Attalea racemosa",2
"Chamaedorea elatior",2
"Chamaedorea liebmannii",2
"Dypsis madagascariensis",2
"Geonoma bernalii",2
"Bismarckia nobilis",2
"Astrocaryum standleyanum",1
"Desmoncus polyacanthos",1
"Cyrtostachys renda",1
"Dypsis decaryi",1
"Coccothrinax miraguama",1
"Chamaedorea seifrizii",1
"Acoelorrhaphe wrightii",1
"Geonoma calyptrogynoidea",1
"Chamaedorea geonomiformis",1
"Chamaedorea ernesti-augusti",1
"Geonoma laxiflora",1
"Geonoma leptospadix",1
"Chamaedorea costaricana",1
"Geonoma poeppigiana",1
"Caryota urens",1
"Caryota mitis",1
"Brassiophoenix schumannii",1
"Hyophorbe verschaffeltii",1
"Bactris major",1
"Bactris coloradonis",1
"Bactris chocoensis",1
"Licuala spinosa",1
"Monocolpites racematus",1
"Orania palindan",1
"Parajubaea cocoides",1
"Phoenix reclinata",1
"Phytelephas seemannii",1
"Desmoncus cirrhiferus",1
"Prestoea longipetiolata",1
"Pritchardia pacifica",1
"Ptychosperma elegans",1
"Sabal domingensis",1
"Sabinaria magnifica",1
"Synechanthus fibrosus",1
"Trachycarpus fortunei",1
"Veitchia arecina",1
"Washingtonia filifera",1
"Washingtonia robusta",1
"Aiphanes macroloba",1
"Aiphanes gloria",1
"Aiphanes cogollo",1
"Aiphanes bio",1
"Wodyetia bifurcata",1
