"departamento","numespecies"
"ANTIOQUIA",162
"CHOCÓ",111
"VALLE DEL CAUCA",111
"AMAZONAS",104
"CAQUETÁ",100
"SANTANDER",81
"META",76
"PUTUMAYO",75
"CALDAS",59
"CAUCA",58
"VAUPÉS",57
"NARIÑO",54
NULL,53
"GUAINÍA",52
"VICHADA",50
"CUNDINAMARCA",49
"GUAVIARE",43
"CASANARE",42
"BOLÍVAR",42
"RISARALDA",40
"CÓRDOBA",35
"BOYACÁ",33
"QUINDIO",29
"MAGDALENA",28
"NORTE DE SANTANDER",28
"ARAUCA",26
"HUILA",22
"TOLIMA",21
"CESAR",21
"LA GUAJIRA",19
"SUCRE",15
"BOGOTÁ, D.C.",11
"ATLÁNTICO",6
"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",3
